Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
DXC Technology (Centro de Excelencia),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)","IT services, cloud operations & engineering",Zaragoza,large,https://dxc.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://dxc.com","Batch-5 directory candidate (broadened filter): IT services, cloud operations & engineering, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,Pattern undetermined
Taymin,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)","Industrial mechanical assembly, piping & stainless boilermaking",Zaragoza,small-medium,http://www.taymin.com,info@taymin.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); http://www.taymin.com","Batch-5 directory candidate (broadened filter): Industrial mechanical assembly, piping & stainless boilermaking, Zaragoza. Assess corporate-housing fit/size.",partial,info@taymin.com,Pattern undetermined
Difisa,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial/commercial refrigeration & climatisation,Zaragoza,small-medium,https://difisa.net,difisa@difisa.net,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://difisa.net","Batch-5 directory candidate (broadened filter): Industrial/commercial refrigeration & climatisation, Zaragoza. Assess corporate-housing fit/size.",partial,difisa@difisa.net,Pattern undetermined
Mancliar,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial climatisation,Zaragoza,small,https://www.mancliar.com,mancliar@mancliar.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.mancliar.com","Batch-5 directory candidate (broadened filter): Industrial climatisation, Zaragoza. Assess corporate-housing fit/size.",partial,mancliar@mancliar.com,Pattern undetermined
Ebrofrio,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial refrigeration & climatisation,Zaragoza,small,https://www.ebrofrio.es,oficina@ebrofrio.es,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.ebrofrio.es","Batch-5 directory candidate (broadened filter): Industrial refrigeration & climatisation, Zaragoza. Assess corporate-housing fit/size.",partial,oficina@ebrofrio.es,Pattern undetermined
ForgeNEX Soluciones,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",IT services & infrastructure (hybrid/cloud),Zaragoza,small,https://www.forgenex.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.forgenex.com","Batch-5 directory candidate (broadened filter): IT services & infrastructure (hybrid/cloud), Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@forgenex.com (inferred)
Carrie Consulting,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Cybersecurity consultancy,Zaragoza,small,https://www.carrie.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.carrie.es","Batch-5 directory candidate (broadened filter): Cybersecurity consultancy, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@carrie.es (inferred)
Iberocal,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (sport),Brea de Aragón (Zaragoza),small-medium,https://iberocal.multiespaciosweb.com,iberocalchevi@gmail.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://iberocal.multiespaciosweb.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer (sport), Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,iberocalchevi@gmail.com,Pattern undetermined
Calzados Arancha (ATXA),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer,Brea de Aragón (Zaragoza),small-medium,https://www.atxa.es,pedidos@calzadosarancha.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.atxa.es","Batch-5 directory candidate (broadened filter): Footwear manufacturer, Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,pedidos@calzadosarancha.com,Pattern undetermined
Calzados Barry's (Barritos),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (children),Brea de Aragón (Zaragoza),medium,https://www.calzadosbarrys.com,calzadosbarrys@barritos.net,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.calzadosbarrys.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer (children), Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,calzadosbarrys@barritos.net,Pattern undetermined
Calzados Pielcort,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (work/security),Brea de Aragón (Zaragoza),small-medium,https://www.pielcort.com,info@pielcort.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.pielcort.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer (work/security), Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,info@pielcort.com,Pattern undetermined
Boston Shoes,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (Menorcan sandals),Brea de Aragón (Zaragoza),small,https://bostonshoes.es,albertomenorquinas@msn.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://bostonshoes.es","Batch-5 directory candidate (broadened filter): Footwear manufacturer (Menorcan sandals), Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,albertomenorquinas@msn.com,Pattern undetermined
Inyectados Río Aranda,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Plastics / injection-molded shoe soles,Brea de Aragón (Zaragoza),small-medium,https://www.inyectadosrioaranda.com,info@inyectadosrioaranda.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.inyectadosrioaranda.com","Batch-5 directory candidate (broadened filter): Plastics / injection-molded shoe soles, Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,info@inyectadosrioaranda.com,Pattern undetermined
Cordonfil,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)","Footwear components (laces, cords, threads)",Brea de Aragón (Zaragoza),small-medium,https://www.cordonfil.com,info@cordonfil.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.cordonfil.com","Batch-5 directory candidate (broadened filter): Footwear components (laces, cords, threads), Brea de Aragón (Zaragoza). Assess corporate-housing fit/size.",partial,info@cordonfil.com,Pattern undetermined
Sladan Manufactures,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer,Illueca (Zaragoza),small-medium,https://www.sladanmanufactures.com,info@sladanmanufactures.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.sladanmanufactures.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer, Illueca (Zaragoza). Assess corporate-housing fit/size.",partial,info@sladanmanufactures.com,Pattern undetermined
Neysa World Trade,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (eco/sustainable),Illueca (Zaragoza),small,https://neysaworldtrade.com,info@neysa.es,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://neysaworldtrade.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer (eco/sustainable), Illueca (Zaragoza). Assess corporate-housing fit/size.",partial,info@neysa.es,Pattern undetermined
Curtidos Vázquez,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Leather supplier for footwear,Illueca (Zaragoza),small-medium,,fer@curtidosvazquez.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)","Batch-5 directory candidate (broadened filter): Leather supplier for footwear, Illueca (Zaragoza). Assess corporate-housing fit/size.",partial,fer@curtidosvazquez.com,Pattern undetermined
Agaré (Calzados Agaré),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer,Illueca (Zaragoza),small,https://www.agare.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.agare.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer, Illueca (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@agare.com (inferred)
Zapatos Velilla,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (children/youth),Illueca (Zaragoza),small-medium,https://www.zapatosvelilla.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.zapatosvelilla.es","Batch-5 directory candidate (broadened filter): Footwear manufacturer (children/youth), Illueca (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@zapatosvelilla.es (inferred)
Rómulo Benedí (Jungla Footwear),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Footwear manufacturer (brand Jungla),Morés (Zaragoza),medium,https://junglafootwear.com,jungla@romulobenedi.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://junglafootwear.com","Batch-5 directory candidate (broadened filter): Footwear manufacturer (brand Jungla), Morés (Zaragoza). Assess corporate-housing fit/size.",partial,jungla@romulobenedi.com,Pattern undetermined
Cartonajes Antón,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Packaging / corrugated cardboard manufacturer,Morés (Zaragoza),medium,https://www.cartonanton.com,comercial@cartonanton.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.cartonanton.com","Batch-5 directory candidate (broadened filter): Packaging / corrugated cardboard manufacturer, Morés (Zaragoza). Assess corporate-housing fit/size.",partial,comercial@cartonanton.com,Pattern undetermined
Mecanizados Soro Metalúrgica,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",CNC machining / decoletaje,Zaragoza (Malpica),medium,https://mecanizados.eu,rosana@sorometalurgica.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://mecanizados.eu","Batch-5 directory candidate (broadened filter): CNC machining / decoletaje, Zaragoza (Malpica). Assess corporate-housing fit/size.",partial,rosana@sorometalurgica.com,Pattern undetermined
Cigüeñales Sanz,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Crankshaft/camshaft machining for auto,Zaragoza (Malpica),small,https://csanz.com,export@csanz.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://csanz.com","Batch-5 directory candidate (broadened filter): Crankshaft/camshaft machining for auto, Zaragoza (Malpica). Assess corporate-housing fit/size.",partial,export@csanz.com,Pattern undetermined
Maswer Spain,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Automotive engineering / PLM services,Zaragoza,medium,https://maswer.com,info@maswer.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://maswer.com","Batch-5 directory candidate (broadened filter): Automotive engineering / PLM services, Zaragoza. Assess corporate-housing fit/size.",partial,info@maswer.com,Pattern undetermined
Metalográfica de Aragón (Metasa),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Heat/thermal treatments of metals,Zaragoza,small,https://ttmetasa.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://ttmetasa.com","Batch-5 directory candidate (broadened filter): Heat/thermal treatments of metals, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@ttmetasa.com (inferred)
Moldes J. Cereza,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Injection moulds for auto plastics,Zaragoza (Malpica),small (35),http://www.jcereza.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); http://www.jcereza.com","Batch-5 directory candidate (broadened filter): Injection moulds for auto plastics, Zaragoza (Malpica). Assess corporate-housing fit/size.",list-only,None found verbatim,info@jcereza.com (inferred)
Molcuar Utillajes,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Tooling / control jigs / moulds (auto),Cuarte de Huerva (Zaragoza),small,https://molcuar.com,administracion@molcuar.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://molcuar.com","Batch-5 directory candidate (broadened filter): Tooling / control jigs / moulds (auto), Cuarte de Huerva (Zaragoza). Assess corporate-housing fit/size.",partial,administracion@molcuar.com,Pattern undetermined
Estampaciones Modernas (Estamode),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Metal stamping / magnetic cores,Cartuja Baja (Zaragoza),medium,https://estamode.com,estamode@estamode.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://estamode.com","Batch-5 directory candidate (broadened filter): Metal stamping / magnetic cores, Cartuja Baja (Zaragoza). Assess corporate-housing fit/size.",partial,estamode@estamode.com,Pattern undetermined
Hispano Util,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Moulds + plastic injection/blow (auto),Cuarte de Huerva (Zaragoza),small,https://hispanoutil.com,info@hispanoutil.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://hispanoutil.com","Batch-5 directory candidate (broadened filter): Moulds + plastic injection/blow (auto), Cuarte de Huerva (Zaragoza). Assess corporate-housing fit/size.",partial,info@hispanoutil.com,Pattern undetermined
Molweld (Moldes Grabi),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Mould/tooling fabrication & injection,Cuarte de Huerva (Zaragoza),small,https://molweld.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://molweld.com","Batch-5 directory candidate (broadened filter): Mould/tooling fabrication & injection, Cuarte de Huerva (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@molweld.com (inferred)
Miju,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Rubber/rubber-metal/plastic components for auto,Zaragoza (Malpica),medium,https://miju.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://miju.es","Batch-5 directory candidate (broadened filter): Rubber/rubber-metal/plastic components for auto, Zaragoza (Malpica). Assess corporate-housing fit/size.",list-only,None found verbatim,info@miju.es (inferred)
Recubrimientos Carreras,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Surface treatment / zinc plating,Zaragoza (Malpica),small-medium,https://recubrimientoscarreras.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://recubrimientoscarreras.es","Batch-5 directory candidate (broadened filter): Surface treatment / zinc plating, Zaragoza (Malpica). Assess corporate-housing fit/size.",list-only,None found verbatim,info@recubrimientoscarreras.es (inferred)
Kamesal Calderería y Montajes,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial boilermaking / welded structures,Zaragoza (Malpica),small-medium,https://www.kamesal.es,info@kamesal.es,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.kamesal.es","Batch-5 directory candidate (broadened filter): Industrial boilermaking / welded structures, Zaragoza (Malpica). Assess corporate-housing fit/size.",partial,info@kamesal.es,Pattern undetermined
Sijalón,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial supplies (auto cluster),La Puebla de Alfindén (Zaragoza),small,https://www.sijalon.com,sijalon@sijalon.net,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.sijalon.com","Batch-5 directory candidate (broadened filter): Industrial supplies (auto cluster), La Puebla de Alfindén (Zaragoza). Assess corporate-housing fit/size.",partial,sijalon@sijalon.net,Pattern undetermined
Lacor Automoción (Grupo Lacor),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Automotive production/services,Pedrola (Zaragoza),medium,https://www.grupolacor.com,info@grupolacor.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.grupolacor.com","Batch-5 directory candidate (broadened filter): Automotive production/services, Pedrola (Zaragoza). Assess corporate-housing fit/size.",partial,info@grupolacor.com,Pattern undetermined
Cefa (Celulosa Fabril),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Plastic injection interior components (auto),Zaragoza (Malpica),medium,https://www.cefa.es,info@cefa.es,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.cefa.es","Batch-5 directory candidate (broadened filter): Plastic injection interior components (auto), Zaragoza (Malpica). Assess corporate-housing fit/size.",partial,info@cefa.es,Pattern undetermined
Soma (Soluciones Metálicas Asensio),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Welded metal fabrication (auto/aero),Zaragoza,small-medium,https://grupohierrosalfonso.com,elaborda@grupohierrosalfonso.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://grupohierrosalfonso.com","Batch-5 directory candidate (broadened filter): Welded metal fabrication (auto/aero), Zaragoza. Assess corporate-housing fit/size.",partial,elaborda@grupohierrosalfonso.com,Pattern undetermined
Mytain (Myta Industrial),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Industrial machinery relocation/maintenance (auto),Zaragoza (Malpica),small,https://m-automocion.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://m-automocion.com","Batch-5 directory candidate (broadened filter): Industrial machinery relocation/maintenance (auto), Zaragoza (Malpica). Assess corporate-housing fit/size.",list-only,None found verbatim,info@mytain.com (inferred)
Unitec (Unión Tecnológica del Automóvil),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Metal tubes & components for auto,Pinseque (Zaragoza),small-medium,https://unitec-automotive.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://unitec-automotive.com","Batch-5 directory candidate (broadened filter): Metal tubes & components for auto, Pinseque (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@unitec-automotive.com (inferred)
Talleres Hernández (TAHER),"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Metal stamping & deep drawing,María de Huerva (Zaragoza),small-medium,https://tallermetalzaragoza.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://tallermetalzaragoza.es","Batch-5 directory candidate (broadened filter): Metal stamping & deep drawing, María de Huerva (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@tallermetalzaragoza.es (inferred)
Tecmoplas,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Technical plastic injection + moulds (auto),Torres de Berrellén (Zaragoza),medium,https://www.tecmoplas.com,clientes@tecmoplas.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.tecmoplas.com","Batch-5 directory candidate (broadened filter): Technical plastic injection + moulds (auto), Torres de Berrellén (Zaragoza). Assess corporate-housing fit/size.",partial,clientes@tecmoplas.com,Pattern undetermined
Plásticos Cervello,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Plastic injection + mould making,Cuarte de Huerva (Zaragoza),medium,http://www.plasticoscervello.com,info@plasticoscervello.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); http://www.plasticoscervello.com","Batch-5 directory candidate (broadened filter): Plastic injection + mould making, Cuarte de Huerva (Zaragoza). Assess corporate-housing fit/size.",partial,info@plasticoscervello.com,Pattern undetermined
Juan Ruiz Cristóbal,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Boilermaking / welded capital goods,Cartuja Baja (Zaragoza),small-medium,https://www.caldereriajuanruizcristobal.es,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.caldereriajuanruizcristobal.es","Batch-5 directory candidate (broadened filter): Boilermaking / welded capital goods, Cartuja Baja (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@caldereriajuanruizcristobal.es (inferred)
Fiasa Aragón,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)","Surface treatments (cataphoresis, zinc)",Zaragoza,small,https://fiasaragon.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://fiasaragon.com","Batch-5 directory candidate (broadened filter): Surface treatments (cataphoresis, zinc), Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@fiasaragon.com (inferred)
Electro Níquel Forcán,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Surface treatment / plating,Zaragoza (Malpica),small-medium,https://electroniquelforcan.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://electroniquelforcan.com","Batch-5 directory candidate (broadened filter): Surface treatment / plating, Zaragoza (Malpica). Assess corporate-housing fit/size.",list-only,None found verbatim,info@electroniquelforcan.com (inferred)
Sasyma Coatings,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Surface treatment / industrial painting,Cartuja Baja (Zaragoza),small-medium,https://www.sasymacoatings.com,zaragoza@sasymacoatings.com,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://www.sasymacoatings.com","Batch-5 directory candidate (broadened filter): Surface treatment / industrial painting, Cartuja Baja (Zaragoza). Assess corporate-housing fit/size.",partial,zaragoza@sasymacoatings.com,Pattern undetermined
Modisprem,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13)",Plastic foam transformation for auto,Zuera (Zaragoza),medium (114),https://modisprem.com,,,,,,,,,,,"Directory harvest (clusters/poligonos: renewables, datacenter/ICT, automotive, footwear, agri, print/furniture) + web - batch 5 (2026-06-13); https://modisprem.com","Batch-5 directory candidate (broadened filter): Plastic foam transformation for auto, Zuera (Zaragoza). Assess corporate-housing fit/size.",list-only,None found verbatim,info@modisprem.com (inferred)
